main_id;language;template;score_func;subscales;layout 
TBFT_0002;de;5-option multiple choice;function(x) 6-x;Extraversion;
TBFT_0002;en;5-option multiple choice;function(x) 6-x;Extraversion;
TBFT_0003;de;5-option multiple choice;function(x) x+0;Agreeableness;
TBFT_0003;en;5-option multiple choice;function(x) x+0;Agreeableness;
TBFT_0004;de;5-option multiple choice;function(x) 6-x;Conscientiousness;
TBFT_0004;en;5-option multiple choice;function(x) 6-x;Conscientiousness;
TBFT_0005;de;5-option multiple choice;function(x) 6-x;Neuroticism;
TBFT_0005;en;5-option multiple choice;function(x) 6-x;Neuroticism;
TBFT_0006;de;5-option multiple choice;function(x) 6-x;Openness;
TBFT_0006;en;5-option multiple choice;function(x) 6-x;Openness;
TBFT_0007;de;5-option multiple choice;function(x) x+0;Extraversion;
TBFT_0007;en;5-option multiple choice;function(x) x+0;Extraversion;
TBFT_0008;de;5-option multiple choice;function(x) 6-x;Agreeableness;
TBFT_0008;en;5-option multiple choice;function(x) 6-x;Agreeableness;
TBFT_0009;de;5-option multiple choice;function(x) x+0;Conscientiousness;
TBFT_0009;en;5-option multiple choice;function(x) x+0;Conscientiousness;
TBFT_0010;de;5-option multiple choice;function(x) x+0;Neuroticism;
TBFT_0010;en;5-option multiple choice;function(x) x+0;Neuroticism;
TBFT_0011;de;5-option multiple choice;function(x) x+0;Openness;
TBFT_0011;en;5-option multiple choice;function(x) x+0;Openness;
